Species,Pine_GBS_all_Working SL,LAT,LONG,ELEVATION,TYPE,WorkingSL,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD
PL,1,55.06,-118.73,670,,1,1.5,15.5,-15.1,30.6,469,300,24.5,51.7,1665,1244,149,150,249,100,134,-47.2,33.7,554,208
PL,2,49.66,-110.25,1160,,2,3.4,16.9,-10.4,27.3,432,257,31,65.7,1179,1405,151,149,248,99,128,-42.5,37.4,660,350
PL,3,54.71,-115.41,1160,,3,1.8,13.8,-9.9,23.7,668,472,17.7,29.2,1305,1031,151,146,258,112,163,-41.2,29.6,462,35
PL,5,54.65,-118.83,1021,,5,2,14.1,-11.2,25.3,607,387,19.8,36.4,1296,1074,153,148,255,107,174,-43.6,31.1,490,64
PL,6,54.41,-119,1189,,6,2.1,13.7,-9.6,23.3,687,428,17.6,32,1206,1001,153,151,258,107,202,-42.5,30.1,463,35
PL,7,55.63,-113.45,914,,7,-0.7,13.9,-19,32.9,504,339,18.5,41,2054,930,136,160,244,83,149,-46.3,31.2,470,94
PL,8,59.7,-117.98,731,gradient,8,-3.9,14,-24.4,38.4,405,240,15.1,58.3,3031,843,123,156,239,82,168,-49.3,32.2,384,144
PL,9,49.91,-114.08,1432,,9,2.9,15.3,-10.2,25.5,639,320,20.2,47.8,1114,1178,147,163,255,92,237,-42.2,33.7,584,178
PL,10,51.33,-114.58,1371,,10,2.4,13.8,-10.3,24.1,518,346,23.9,39.9,1134,1015,135,164,243,79,128,-43.5,32.8,562,152
PL,11,52.16,-115.66,1676,,11,0.5,12.2,-12.3,24.5,686,442,15.3,27.6,1476,765,126,164,244,80,226,-46,30.5,435,5
PL,12,53.08,-115.5,975,,12,2.3,14.9,-11.9,26.8,594,431,20.7,34.6,1321,1182,153,146,253,107,125,-44.9,32.1,527,64
PL,13,55.25,-116.16,792,,13,1.2,14.8,-15,29.8,569,383,19.7,38.6,1642,1139,152,146,252,107,150,-46.8,31.8,496,84
PL,14,56.16,-118.5,609,,14,1,15.8,-17,32.8,430,269,25.6,58.7,1821,1269,156,142,253,111,132,-45.7,33.8,520,211
PL,15,56.25,-118.91,609,,15,1,15.6,-16.4,32,402,250,27.4,62.3,1790,1241,155,143,253,111,126,-46.2,33.4,509,223
PL,16,55.08,-119.41,701,,16,1.5,15.2,-14.5,29.7,477,296,24.1,51.4,1593,1204,151,148,251,103,147,-46.3,33.5,534,194
PL,17,52.63,-116.08,1520,,17,1.1,12.7,-11.3,24,579,400,19.2,31.8,1342,843,131,162,245,83,156,-45.1,30.5,493,35
PL,18,53.2,-117.53,1360,,18,1.5,13.5,-11.2,24.7,701,439,16.4,30.8,1335,944,141,155,252,97,220,-44.6,30.7,490,29
PL,19,53.73,-116.58,1000,,19,2.2,14.4,-11.8,26.2,587,429,20.8,33.6,1286,1108,148,153,251,98,124,-44.7,31.8,525,68
PL,20,53.5,-116.16,1090,,20,1.8,14,-11.9,25.9,579,425,20.4,33,1340,1048,145,154,250,96,126,-45.4,31.5,511,63
PL,21,50.66,-115.08,1860,Pair,21,0,11.9,-12.3,24.2,805,400,12.4,29.7,1522,695,117,175,240,65,383,-45.5,30.2,492,49
PL,22,58.75,-115.41,825,gradient,22,-3.8,14.1,-25.2,39.3,449,272,13.8,51.8,3024,865,127,155,239,85,177,-47.1,32.7,386,119
PL,23,54.03,-116.06,990,,23,2.3,14.7,-11.6,26.3,618,437,19.9,33.7,1283,1145,152,148,256,108,142,-44.3,31.5,513,58
PL,24,52.96,-115.91,1067,,24,2.3,14.4,-11.4,25.8,612,441,20.1,32.6,1263,1108,147,153,251,98,131,-44.5,32.1,535,56
PL,25,53.88,-116.83,1069,,25,2.3,14.7,-11.8,26.5,687,475,17.9,31,1290,1136,151,148,257,110,164,-44.5,31.5,512,41
PL,26,58.63,-118.8,625,,26,-1.4,14.9,-20.9,35.8,400,249,21.5,59.9,2378,1038,140,149,248,98,139,-47.1,32.5,459,176
PL,27,56.55,-119.86,945,,27,0.2,13.7,-14.7,28.4,476,279,21.4,49,1742,950,144,151,249,98,174,-47,30.7,447,128
PL,28,57.76,-116.53,755,,28,-0.6,14.8,-19.2,34,418,263,22.5,56.3,2145,1052,144,148,249,101,136,-46.6,31.9,463,166
PL,29,53.68,-115.83,835,,29,2.2,15.3,-12.9,28.2,576,415,21.2,36.9,1393,1228,151,149,251,102,124,-45.8,32.8,552,96
PL,30,49.66,-110.16,1299,,30,2.8,16.2,-10.6,26.8,437,261,29.3,62.1,1242,1297,149,150,248,98,135,-43.1,36.3,625,312
PL,31,49.63,-114.63,1364,,31,2.3,14.1,-9.5,23.6,645,291,19.1,48.5,1129,1011,146,160,250,90,278,-41.1,32.6,544,176
PL,32,49.86,-114,1662,,32,2.2,14.4,-10.2,24.6,685,335,17.8,43,1180,1034,141,168,254,86,283,-42.5,32.4,545,130
PL,33,55.71,-119.66,791,,33,1.1,14.7,-14.9,29.6,522,319,21.3,46.1,1644,1120,149,149,250,101,169,-46.6,32.6,503,146
PL,34,56.7,-119.2,1025,,34,-0.4,13.7,-16.8,30.5,511,313,18.8,43.8,1935,939,140,152,245,93,178,-47,31.1,458,107
PL,35,56.33,-119.95,742,,35,0.7,14.8,-14.8,29.6,476,275,22.5,53.8,1742,1095,147,150,248,98,171,-47.3,32.9,494,177
PL,36,54.76,-119.4,1016,,36,2.1,14.1,-11.6,25.7,639,400,18.9,35.2,1286,1077,153,149,255,106,187,-43.7,31.2,492,53
PL,37,54.55,-119.2,1162,spatial,37,2.1,13.6,-9.9,23.5,647,402,18.7,33.8,1216,999,152,151,256,105,194,-42.5,30.3,469,42
PL,38,52.65,-115.1,940,,38,2.6,15.3,-12,27.3,564,400,22.3,38.3,1300,1246,153,148,253,104,121,-44.7,33.2,559,108
