#CHROM	#CHRO
POS	PO
Pi_100A3	Pi_100
Pi_100A4	Pi_100
Pi_101A3	Pi_101
Pi_101A4	Pi_101
Pi_102A2	Pi_102
Pi_102A3	Pi_102
Pi_103A3	Pi_103
Pi_103A4	Pi_103
Pi_103A5	Pi_103
Pi_104A3	Pi_104
Pi_104A4	Pi_104
Pi_105A3	Pi_105
Pi_105A4	Pi_105
Pi_105A5	Pi_105
Pi_106A4	Pi_106
Pi_106A5	Pi_106
Pi_106A6	Pi_106
Pi_107A4	Pi_107
Pi_107A5	Pi_107
Pi_107A6	Pi_107
Pi_108A3	Pi_108
Pi_108A4	Pi_108
Pi_108A5	Pi_108
Pi_109A3	Pi_109
Pi_109A4	Pi_109
Pi_10A3	Pi_10
Pi_10A4	Pi_10
Pi_110A4	Pi_110
Pi_110A5	Pi_110
Pi_110A6	Pi_110
Pi_111A2	Pi_111
Pi_111A3	Pi_111
Pi_112A3	Pi_112
Pi_112A4	Pi_112
Pi_112A5	Pi_112
Pi_113A3	Pi_113
Pi_113A4	Pi_113
Pi_113A5	Pi_113
Pi_114A4	Pi_114
Pi_114A5	Pi_114
Pi_114A6	Pi_114
Pi_115A2	Pi_115
Pi_115A3	Pi_115
Pi_115A4	Pi_115
Pi_116A3	Pi_116
Pi_116A4	Pi_116
Pi_117A4	Pi_117
Pi_117A5	Pi_117
Pi_117A6	Pi_117
Pi_118A3	Pi_118
Pi_118A4	Pi_118
Pi_119A3	Pi_119
Pi_119A4	Pi_119
Pi_119A5	Pi_119
Pi_11A3	Pi_11
Pi_11A4	Pi_11
Pi_120A3	Pi_120
Pi_120A4	Pi_120
Pi_121A3	Pi_121
Pi_121A4	Pi_121
Pi_121A5	Pi_121
Pi_122A3	Pi_122
Pi_122A4	Pi_122
Pi_122A5	Pi_122
Pi_123A3	Pi_123
Pi_123A4	Pi_123
Pi_123A5	Pi_123
Pi_124A3	Pi_124
Pi_124A4	Pi_124
Pi_124A5	Pi_124
Pi_125A4	Pi_125
Pi_125A5	Pi_125
Pi_126A3	Pi_126
Pi_126A4	Pi_126
Pi_127A3	Pi_127
Pi_127A4	Pi_127
Pi_128A4	Pi_128
Pi_128A5	Pi_128
Pi_128A6	Pi_128
Pi_129A4	Pi_129
Pi_129A5	Pi_129
Pi_129A6	Pi_129
Pi_12A3	Pi_12
Pi_12A4	Pi_12
Pi_130A3	Pi_130
Pi_130A4	Pi_130
Pi_130A5	Pi_130
Pi_131A3	Pi_131
Pi_131A4	Pi_131
Pi_132A2	Pi_132
Pi_132A3	Pi_132
Pi_132A4	Pi_132
Pi_133A3	Pi_133
Pi_133A4	Pi_133
Pi_133A5	Pi_133
Pi_134A4	Pi_134
Pi_134A5	Pi_134
Pi_134A6	Pi_134
Pi_135A3	Pi_135
Pi_135A4	Pi_135
Pi_135A5	Pi_135
Pi_136A4	Pi_136
Pi_136A7	Pi_136
Pi_137A3	Pi_137
Pi_138A3	Pi_138
Pi_138A4	Pi_138
Pi_139A4	Pi_139
Pi_139A5	Pi_139
Pi_139A6	Pi_139
Pi_13A3	Pi_13
Pi_13A4	Pi_13
Pi_140A4	Pi_140
Pi_140A5	Pi_140
Pi_141A3	Pi_141
Pi_141A4	Pi_141
Pi_142A6	Pi_142
Pi_142A8	Pi_142
Pi_143A5	Pi_143
Pi_143A8	Pi_143
Pi_144A3	Pi_144
Pi_144A4	Pi_144
Pi_144A5	Pi_144
Pi_145A3	Pi_145
Pi_145A4	Pi_145
Pi_146A4	Pi_146
Pi_146A5	Pi_146
Pi_146A6	Pi_146
Pi_147A3	Pi_147
Pi_147A4	Pi_147
Pi_147A5	Pi_147
Pi_148A3	Pi_148
Pi_148A4	Pi_148
Pi_149A3	Pi_149
Pi_149A6	Pi_149
Pi_14A3	Pi_14
Pi_14A4	Pi_14
Pi_150A4	Pi_150
Pi_150A5	Pi_150
Pi_151A4	Pi_151
Pi_151A5	Pi_151
Pi_151A6	Pi_151
Pi_152A3	Pi_152
Pi_152A4	Pi_152
Pi_153A3	Pi_153
Pi_153A4	Pi_153
Pi_153A5	Pi_153
Pi_154A4	Pi_154
Pi_154A6	Pi_154
Pi_155A3	Pi_155
Pi_155A4	Pi_155
Pi_156A3	Pi_156
Pi_156A4	Pi_156
Pi_157A3	Pi_157
Pi_157A4	Pi_157
Pi_158A3	Pi_158
Pi_158A4	Pi_158
Pi_158A5	Pi_158
Pi_159A4	Pi_159
Pi_159A5	Pi_159
Pi_159A6	Pi_159
Pi_15A2	Pi_15
Pi_15A3	Pi_15
Pi_160A3	Pi_160
Pi_160A4	Pi_160
Pi_160A5	Pi_160
Pi_161A4	Pi_161
Pi_161A6	Pi_161
Pi_162A3	Pi_162
Pi_162A4	Pi_162
Pi_163A3	Pi_163
Pi_163A4	Pi_163
Pi_164A2	Pi_164
Pi_164A3	Pi_164
Pi_165A3	Pi_165
Pi_165A4	Pi_165
Pi_165A5	Pi_165
Pi_166A4	Pi_166
Pi_166A5	Pi_166
Pi_166A6	Pi_166
Pi_167A4	Pi_167
Pi_167A5	Pi_167
Pi_167A6	Pi_167
Pi_168A2	Pi_168
Pi_168A3	Pi_168
Pi_169A4	Pi_169
Pi_169A5	Pi_169
Pi_169A6	Pi_169
Pi_16A3	Pi_16
Pi_16A4	Pi_16
Pi_170A4	Pi_170
Pi_170A5	Pi_170
Pi_170A6	Pi_170
Pi_171A3	Pi_171
Pi_171A4	Pi_171
Pi_172A3	Pi_172
Pi_172A4	Pi_172
Pi_172A5	Pi_172
Pi_173A3	Pi_173
Pi_173A4	Pi_173
Pi_173A5	Pi_173
Pi_174A4	Pi_174
Pi_174A5	Pi_174
Pi_174A6	Pi_174
Pi_175A4	Pi_175
Pi_175A5	Pi_175
Pi_175A6	Pi_175
Pi_176A2	Pi_176
Pi_176A3	Pi_176
Pi_177A3	Pi_177
Pi_177A4	Pi_177
Pi_178A2	Pi_178
Pi_178A3	Pi_178
Pi_179A3	Pi_179
Pi_179A4	Pi_179
Pi_17A3	Pi_17
Pi_17A4	Pi_17
Pi_180A3	Pi_180
Pi_180A4	Pi_180
Pi_181A3	Pi_181
Pi_181A4	Pi_181
Pi_181A5	Pi_181
Pi_182A4	Pi_182
Pi_182A5	Pi_182
Pi_183A4	Pi_183
Pi_183A5	Pi_183
Pi_183A6	Pi_183
Pi_184A4	Pi_184
Pi_184A5	Pi_184
Pi_184A6	Pi_184
Pi_185A3	Pi_185
Pi_185A4	Pi_185
Pi_186A3	Pi_186
Pi_186A4	Pi_186
Pi_187A2	Pi_187
Pi_187A3	Pi_187
Pi_187A4	Pi_187
Pi_188A2	Pi_188
Pi_188A3	Pi_188
Pi_189A4	Pi_189
Pi_189A5	Pi_189
Pi_189A6	Pi_189
Pi_18A3	Pi_18
Pi_18A4	Pi_18
Pi_190A4	Pi_190
Pi_190A5	Pi_190
Pi_190A6	Pi_190
Pi_191A3	Pi_191
Pi_191A4	Pi_191
Pi_192A2	Pi_192
Pi_192A3	Pi_192
Pi_193A3	Pi_193
Pi_193A4	Pi_193
Pi_194A2	Pi_194
Pi_194A3	Pi_194
Pi_195A3	Pi_195
Pi_195A4	Pi_195
Pi_195A5	Pi_195
Pi_196A4	Pi_196
Pi_196A5	Pi_196
Pi_196A6	Pi_196
Pi_197A2	Pi_197
Pi_197A3	Pi_197
Pi_198A4	Pi_198
Pi_198A5	Pi_198
Pi_198A6	Pi_198
Pi_199A4	Pi_199
Pi_199A5	Pi_199
Pi_199A6	Pi_199
Pi_19A2	Pi_19
Pi_19A3	Pi_19
Pi_1A2	Pi_1
Pi_1A3	Pi_1
