"LAT" "Latitude"
"LONG" "Longitude"
"ELEVATION" "Elevation"
"MAT" "Mean ann. temp"
"MWMT" "Mean warmest month"
"MCMT" "Mean coldest month"
"TD" "Temp difference"
"MAP" "Mean annual precipitation"
"MSP" "Mean summer precipitation"
"AHM" "Anuual heat:moisture index"
"SHM" "Summer heat:moisture index"
"DD_0" "Days < 0C"
"DD5" "Days > 5C"
"NFFD" "# frost-free days"
"bFFP" "Begin frost-free period"
"eFFP" "End frost-free period"
"FFP" "Frost-free period"
"PAS" "Precipitation as snow"
"EMT" "Extreme min. temp 30 years"
"EXT" "Extreme max. temp 30 years"
"Eref" "Evaporation"
"CMD" "Climate moisture deficit"
